algorithm,scenario,n,run,ns
basic,random,10,1,1699
optimized,random,10,1,2692
basic,random,10,2,2395
optimized,random,10,2,3711
basic,random,10,3,2307
optimized,random,10,3,1860
basic,random,10,4,2169
optimized,random,10,4,1825
basic,random,10,5,2147
optimized,random,10,5,1964
basic,random,10,6,2184
optimized,random,10,6,1798
basic,random,10,7,2179
optimized,random,10,7,1865
basic,ascending,10,1,331
optimized,ascending,10,1,648
basic,ascending,10,2,661
optimized,ascending,10,2,1304
basic,ascending,10,3,1142
optimized,ascending,10,3,722
basic,ascending,10,4,631
optimized,ascending,10,4,540
basic,ascending,10,5,619
optimized,ascending,10,5,624
basic,ascending,10,6,671
optimized,ascending,10,6,637
basic,ascending,10,7,645
optimized,ascending,10,7,655
basic,descending,10,1,2060
optimized,descending,10,1,2296
basic,descending,10,2,2927
optimized,descending,10,2,3763
basic,descending,10,3,2676
optimized,descending,10,3,2184
basic,descending,10,4,2499
optimized,descending,10,4,2242
basic,descending,10,5,2486
optimized,descending,10,5,2216
basic,descending,10,6,2904
optimized,descending,10,6,2649
basic,descending,10,7,2380
optimized,descending,10,7,2216
basic,random,100,1,140760
optimized,random,100,1,134726
basic,random,100,2,153554
optimized,random,100,2,136499
basic,random,100,3,170295
optimized,random,100,3,147503
basic,random,100,4,151640
optimized,random,100,4,128074
basic,random,100,5,150252
optimized,random,100,5,132361
basic,random,100,6,138114
optimized,random,100,6,124316
basic,random,100,7,146910
optimized,random,100,7,133735
basic,ascending,100,1,2004
optimized,ascending,100,1,4006
basic,ascending,100,2,2318
optimized,ascending,100,2,1952
basic,ascending,100,3,3620
optimized,ascending,100,3,28717
basic,ascending,100,4,2311
optimized,ascending,100,4,2464
basic,ascending,100,5,2660
optimized,ascending,100,5,2561
basic,ascending,100,6,2323
optimized,ascending,100,6,1994
basic,ascending,100,7,5421
optimized,ascending,100,7,2859
basic,descending,100,1,17424
optimized,descending,100,1,79246
basic,descending,100,2,22691
optimized,descending,100,2,33498
basic,descending,100,3,16357
optimized,descending,100,3,21643
basic,descending,100,4,24502
optimized,descending,100,4,21345
basic,descending,100,5,24460
optimized,descending,100,5,25558
basic,descending,100,6,24501
optimized,descending,100,6,19786
basic,descending,100,7,26697
optimized,descending,100,7,24354
basic,random,1000,1,814904
optimized,random,1000,1,767500
basic,random,1000,2,806831
optimized,random,1000,2,644467
basic,random,1000,3,783857
optimized,random,1000,3,644428
basic,random,1000,4,777221
optimized,random,1000,4,68728951
basic,random,1000,5,1086647
optimized,random,1000,5,1040652
basic,random,1000,6,868388
optimized,random,1000,6,638064
basic,random,1000,7,771474
optimized,random,1000,7,654185
basic,ascending,1000,1,481
optimized,ascending,1000,1,1163
basic,ascending,1000,2,517
optimized,ascending,1000,2,605
basic,ascending,1000,3,525
optimized,ascending,1000,3,580
basic,ascending,1000,4,527
optimized,ascending,1000,4,590
basic,ascending,1000,5,538
optimized,ascending,1000,5,622
basic,ascending,1000,6,892
optimized,ascending,1000,6,1003
basic,ascending,1000,7,1025
optimized,ascending,1000,7,721
basic,descending,1000,1,729060
optimized,descending,1000,1,312107
basic,descending,1000,2,734112
optimized,descending,1000,2,314148
basic,descending,1000,3,723987
optimized,descending,1000,3,307794
basic,descending,1000,4,736992
optimized,descending,1000,4,305410
basic,descending,1000,5,733067
optimized,descending,1000,5,331488
basic,descending,1000,6,729485
optimized,descending,1000,6,313639
basic,descending,1000,7,726606
optimized,descending,1000,7,303518
basic,random,5000,1,17081381
optimized,random,5000,1,16758970
basic,random,5000,2,29769946
optimized,random,5000,2,16770856
basic,random,5000,3,17102161
optimized,random,5000,3,16203433
basic,random,5000,4,17383346
optimized,random,5000,4,16093532
basic,random,5000,5,25020305
optimized,random,5000,5,16826581
basic,random,5000,6,17616828
optimized,random,5000,6,16709486
basic,random,5000,7,17139435
optimized,random,5000,7,24787366
basic,ascending,5000,1,2074
optimized,ascending,5000,1,2330
basic,ascending,5000,2,2033
optimized,ascending,5000,2,4580
basic,ascending,5000,3,2226
optimized,ascending,5000,3,2403
basic,ascending,5000,4,1979
optimized,ascending,5000,4,2310
basic,ascending,5000,5,1956
optimized,ascending,5000,5,2296
basic,ascending,5000,6,1957
optimized,ascending,5000,6,2309
basic,ascending,5000,7,1949
optimized,ascending,5000,7,4042
basic,descending,5000,1,18767364
optimized,descending,5000,1,8331113
basic,descending,5000,2,18397485
optimized,descending,5000,2,7751044
basic,descending,5000,3,42327535
optimized,descending,5000,3,7791197
basic,descending,5000,4,18927822
optimized,descending,5000,4,7675246
basic,descending,5000,5,18380450
optimized,descending,5000,5,7842643
basic,descending,5000,6,18559281
optimized,descending,5000,6,8254710
basic,descending,5000,7,22562299
optimized,descending,5000,7,7583357
basic,random,10000,1,101818459
optimized,random,10000,1,94678205
basic,random,10000,2,104323785
optimized,random,10000,2,98685103
basic,random,10000,3,104879066
optimized,random,10000,3,100195625
basic,random,10000,4,102667546
optimized,random,10000,4,95691944
basic,random,10000,5,106353293
optimized,random,10000,5,93999677
basic,random,10000,6,107552455
optimized,random,10000,6,100754589
basic,random,10000,7,113812154
optimized,random,10000,7,103109463
basic,ascending,10000,1,3983
optimized,ascending,10000,1,4661
basic,ascending,10000,2,3898
optimized,ascending,10000,2,4617
basic,ascending,10000,3,3955
optimized,ascending,10000,3,4629
basic,ascending,10000,4,3940
optimized,ascending,10000,4,4602
basic,ascending,10000,5,3864
optimized,ascending,10000,5,4609
basic,ascending,10000,6,3877
optimized,ascending,10000,6,4628
basic,ascending,10000,7,3940
optimized,ascending,10000,7,4618
basic,descending,10000,1,76402623
optimized,descending,10000,1,30705841
basic,descending,10000,2,78262523
optimized,descending,10000,2,39910016
basic,descending,10000,3,72991638
optimized,descending,10000,3,56790713
basic,descending,10000,4,77899043
optimized,descending,10000,4,43594335
basic,descending,10000,5,76872423
optimized,descending,10000,5,31072534
basic,descending,10000,6,78124016
optimized,descending,10000,6,29829382
basic,descending,10000,7,81860064
optimized,descending,10000,7,30696019
basic,random,20000,1,516567324
optimized,random,20000,1,444538707
basic,random,20000,2,513038071
optimized,random,20000,2,435509598
basic,random,20000,3,517899275
optimized,random,20000,3,456291407
basic,random,20000,4,514094921
optimized,random,20000,4,458355082
basic,random,20000,5,536678836
optimized,random,20000,5,454596083
basic,random,20000,6,525021753
optimized,random,20000,6,445901244
basic,random,20000,7,534309509
optimized,random,20000,7,441065106
basic,ascending,20000,1,7752
optimized,ascending,20000,1,16108
basic,ascending,20000,2,9267
optimized,ascending,20000,2,9217
basic,ascending,20000,3,7998
optimized,ascending,20000,3,13421
basic,ascending,20000,4,9419
optimized,ascending,20000,4,11099
basic,ascending,20000,5,9280
optimized,ascending,20000,5,11089
basic,ascending,20000,6,9375
optimized,ascending,20000,6,11112
basic,ascending,20000,7,10900
optimized,ascending,20000,7,11064
basic,descending,20000,1,320919364
optimized,descending,20000,1,134344391
basic,descending,20000,2,315020123
optimized,descending,20000,2,148818882
basic,descending,20000,3,311930489
optimized,descending,20000,3,130940925
basic,descending,20000,4,320652109
optimized,descending,20000,4,130795934
basic,descending,20000,5,313466741
optimized,descending,20000,5,128047038
basic,descending,20000,6,311021986
optimized,descending,20000,6,132929513
basic,descending,20000,7,313690208
optimized,descending,20000,7,133321665
